epoch,sep,sep_err,pa,pa_err
54781,210.0,27.0,211.49,1.9
52953,413.0,22.0,34.0,4.0
55129,299.0,14.0,211.0,3.0
55194,306.0,9.0,212.1,1.7
55296,346.0,7.0,209.9,1.2
55467,383.0,11.0,210.3,1.7
55516,387.0,8.0,212.4,1.4
55517,390.0,13.0,212.0,2.0
55593,408.0,9.0,211.1,1.5
55646,426.0,13.0,210.1,1.8
55168,339.0,10.0,209.2,1.7
55168,323.0,10.0,209.3,1.8
55555,407.0,5.0,212.8,1.4
55854,452.0,3.0,211.6,0.4
55854,455.0,5.0,211.9,0.6
56015,447.0,3.0,210.8,0.4
56015,448.0,5.0,211.8,0.6
56263,461.0,14.0,211.9,1.2
56265,470.0,10.0,212.0,1.2
56612,430.8,1.5,212.43,0.17
56612,429.1,1.0,212.58,0.15
56614,430.2,1.0,212.46,0.15
56636,425.5,1.0,212.51,0.15
56636,424.4,1.0,212.85,0.15
56637,425.3,1.0,212.47,0.16
56969,356.2,1.0,213.02,0.19
57114,317.3,0.9,213.13,0.2
57332,250.5,1.5,214.14,0.34
57361,240.2,1.1,213.58,0.34
57378,234.5,1.0,213.81,0.3
57408,222.6,2.1,214.84,0.44
57046,335.5,0.9,212.88,0.2
58382,141.9,5.3,28.16,1.82
58440,164.5,1.8,28.64,0.7
